,abr_cd,abr_cdi,abr_nm,abr_c,abr_z,cd,ds,url
71,27910,2704609,MARAVILHA,N,['0050'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27910-c0001-e000544-v.json
72,27936,2704708,MARECHAL DEODORO,N,['0026'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27936-c0001-e000544-v.json
73,27952,2704807,MARIBONDO,N,['0048'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27952-c0001-e000544-v.json
74,27995,2705002,MATA GRANDE,N,['0027'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27995-c0001-e000544-v.json
75,28010,2705101,MATRIZ DE CAMARAGIBE,N,['0012'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28010-c0001-e000544-v.json
76,28037,2705200,MESSIAS,N,['0009'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28037-c0001-e000544-v.json
77,28053,2705309,MINADOR DO NEGRÃO,N,['0046'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28053-c0001-e000544-v.json
78,28070,2705408,MONTEIRÓPOLIS,N,['0029'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28070-c0001-e000544-v.json
79,28096,2705507,MURICI,N,['0009'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28096-c0001-e000544-v.json
80,28118,2705606,NOVO LINO,N,['0053'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28118-c0001-e000544-v.json
81,28134,2705705,OLHO D&apos;ÁGUA DAS FLORES,N,['0011'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28134-c0001-e000544-v.json
82,28150,2705804,OLHO D&apos;ÁGUA DO CASADO,N,['0040'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28150-c0001-e000544-v.json
83,28177,2705903,OLHO D&apos;ÁGUA GRANDE,N,['0037'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28177-c0001-e000544-v.json
84,28193,2706000,OLIVENÇA,N,['0019'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28193-c0001-e000544-v.json
85,28215,2706109,OURO BRANCO,N,['0050'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28215-c0001-e000544-v.json
86,28231,2706208,PALESTINA,N,['0011'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28231-c0001-e000544-v.json
87,28258,2706307,PALMEIRA DOS ÍNDIOS,N,['0010'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28258-c0001-e000544-v.json
88,27022,2706422,PARICONHA,N,['0039'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27022-c0001-e000544-v.json
89,27006,2706448,PARIPUEIRA,N,['0017'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al27006-c0001-e000544-v.json
90,28290,2706505,PASSO DE CAMARAGIBE,N,['0012'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28290-c0001-e000544-v.json
91,28312,2706604,PAULO JACINTO,N,['0028'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28312-c0001-e000544-v.json
92,28339,2706703,PENEDO,N,['0013'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28339-c0001-e000544-v.json
